City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Gorodishche,RU,49.08,clear sky,48.8045,44.4744,Inn Delovoy Vizit
1,Atuona,PF,78.4,broken clouds,-9.8,-139.0333,Villa Enata
2,Sibolga,ID,80.73,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
3,Rikitea,PF,70.2,heavy intensity rain,-23.1203,-134.9692,People ThankYou
4,Dickinson,US,54.12,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
5,Korla,CN,38.82,clear sky,41.7597,86.1469,Gulisitan Hotel
7,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,Le four à pain
9,Saldanha,ZA,59.02,broken clouds,-33.0117,17.9442,Blue Bay Lodge
10,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
11,Homer,US,38.8,clear sky,59.6425,-151.5483,Beluga Lake Lodge
12,Cape Town,ZA,58.91,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
13,Hobart,AU,66.22,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
14,Almunecar,ES,69.96,broken clouds,36.7339,-3.6907,Almuñécar Playa Spa Hotel
15,Lebu,CL,56.39,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
16,Lorengau,PG,85.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
17,Bandarbeyla,SO,76.33,clear sky,9.4942,50.8122,JABIR HOTEL
18,Tasiilaq,GL,37.56,light rain,65.6145,-37.6368,The Red House
19,East London,ZA,64.69,overcast clouds,-33.0153,27.9116,Tu Casa
21,Rabat,MA,64.04,broken clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
22,Libertador General San Martin,AR,79.02,broken clouds,-23.8064,-64.7876,Posada del Sol
23,Ushuaia,AR,51.46,few clouds,-54.8,-68.3,Albatross Hotel
24,Albany,US,34.57,broken clouds,42.6001,-73.9662,
26,Adrar,MR,66.78,clear sky,20.5022,-10.0711,
27,Rio Grande,BR,65.79,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
28,Russell,US,38.8,clear sky,32.3502,-85.1999,The Hidden Cabin
29,Aranda De Duero,ES,46.62,overcast clouds,41.6704,-3.6892,Hotel Villa de Aranda
30,Salinas,US,58.41,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
31,Puerto Ayora,EC,69.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Ponta Do Sol,PT,68.72,few clouds,32.6667,-17.1,Hotel do Campo
34,Punta Arenas,CL,48.11,broken clouds,-53.15,-70.9167,Hotel Hain
35,Hermanus,ZA,52.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
36,Castro,BR,49.77,clear sky,-24.7911,-50.0119,CHACARA BAILLY
37,Nemuro,JP,41.58,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
38,Vaini,TO,78.1,clear sky,-21.2,-175.2,Keleti Beach Resort
39,San Juan Del Sur,NI,79.23,clear sky,11.2529,-85.8705,Nuestra Casa
40,Achacachi,BO,43.47,overcast clouds,-16.05,-68.6833,HOSTAL KANSAS CITY
43,Bidor,MY,81.5,light rain,4.1139,101.2884,Hotel Bidor mk
44,Torbay,CA,44.76,overcast clouds,47.6666,-52.7314,Gallows Cove
45,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
47,Jamestown,US,29.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
48,Rio Gallegos,AR,48.79,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
49,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
50,Hilo,US,79.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Panalipan,PH,77.13,very heavy rain,10.6483,124.0217,Vista Azul
52,Vostok,RU,30.51,light snow,46.4856,135.8833,
53,Roma,US,33.82,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
54,Phan Thiet,VN,85.55,overcast clouds,10.9333,108.1,Hotel Saigon-PT
55,Kaitangata,NZ,59.04,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
56,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Cabo San Lucas,MX,71.91,clear sky,22.8909,-109.9124,Hotel Tesoro
58,Yellowknife,CA,17.56,scattered clouds,62.456,-114.3525,The Explorer Hotel
59,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Hotel San Juan
60,Nikolskoye,RU,26.49,few clouds,59.7035,30.7861,Tourist House - Sablino
61,Aksarka,RU,12.11,scattered clouds,66.5606,67.7975,
62,Portland,US,44.82,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
63,Sibu,MY,75.69,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
64,Kudahuvadhoo,MV,81.84,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
65,High Level,CA,19.15,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
66,Vao,NC,75.16,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
67,Newport,GB,50.45,overcast clouds,51.5877,-2.9984,ibis budget Newport
68,Sangod,IN,67.05,clear sky,24.9167,76.2833,krishan sharema
70,New Norfolk,AU,65.88,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
71,Arraial Do Cabo,BR,70.75,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,Saint George,US,43.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
73,Viedma,AR,65.43,moderate rain,-40.8135,-62.9967,Hotel Cristal
74,Sitka,US,39.09,clear sky,57.0531,-135.33,Westmark Sitka
75,Busselton,AU,55.0,overcast clouds,-33.65,115.3333,Observatory Guest House
76,Bambanglipuro,ID,82.65,overcast clouds,-7.95,110.2833,Puri Brata
77,Derbent,RU,50.92,clear sky,42.0678,48.2899,Elit
79,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
80,Hakkari,TR,22.78,mist,37.5833,44.1667,Koprucek Koyu Muhtarligi
81,Mbandaka,CD,69.1,light rain,0.0487,18.2603,Guest House Epervier
82,Bredasdorp,ZA,55.26,overcast clouds,-34.5322,20.0403,Wheatlands Lodge - Bredasdorp
83,Atambua,ID,87.3,broken clouds,-9.1061,124.8925,Hotel Nusantara 1
84,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
85,Emmett,US,33.17,scattered clouds,43.8735,-116.4993,Holiday Motel & R.V Park
86,Barrow,US,28.42,clear sky,71.2906,-156.7887,King Eider Inn
87,Naze,JP,72.09,broken clouds,28.3667,129.4833,Shishime Hotel
88,Miri,MY,81.61,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
89,Hami,CN,38.64,broken clouds,42.8,93.45,Laoyutang Resort
90,Faanui,PF,78.93,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
92,Arlit,NE,66.58,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
93,Chivilcoy,AR,71.65,broken clouds,-34.8957,-60.0167,Chivilrent
95,Labrea,BR,73.15,moderate rain,-7.2586,-64.7981,Hotel Luiza Falcão
98,Beverley,GB,51.06,overcast clouds,53.8459,-0.4233,The Beverley Arms Hotel
99,Bethel,US,37.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
100,Hannoversch Munden,DE,47.48,scattered clouds,51.4151,9.6505,Hotel Alter Packhof
102,Ossora,RU,16.68,clear sky,59.2353,163.0719,
104,Ketchikan,US,32.47,clear sky,55.3422,-131.6461,Snow's Cove Lodge
105,Port Alfred,ZA,63.18,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
106,Makat,KZ,37.71,broken clouds,47.6469,53.3463,Umit
107,Tura,IN,71.73,light rain,25.5198,90.2201,Hotel RIKMAN Continental
108,Grand Forks,US,15.53,overcast clouds,47.9417,-97.4337,Gray Hall
109,Neosho,US,38.61,light rain,36.869,-94.368,Best Western Big Spring Lodge
110,Kokuy,RU,25.57,overcast clouds,52.2037,117.5529,Gostinichno-Bannyy Kompleks
111,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,departamento comodo
112,Severo-Kurilsk,RU,34.93,overcast clouds,50.6789,156.125,Kak Doma
113,Onitsha,NG,73.15,broken clouds,6.1454,6.7885,Dolly Hills Hotel
114,San Ramon,US,55.62,clear sky,37.7799,-121.978,San Ramon Marriott
115,Zeya,RU,21.65,few clouds,53.75,127.2667,Kapital Inn
117,Mahibadhoo,MV,80.74,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
118,Nanortalik,GL,22.82,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
119,San Quintin,MX,61.34,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
120,Dingle,PH,77.94,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
121,Toccoa,US,37.35,clear sky,34.5773,-83.3324,Quality Inn
122,Dunedin,NZ,55.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
123,Synya,RU,15.15,snow,65.3718,58.0387,
124,Royan,FR,55.2,clear sky,45.6285,-1.0281,CERISE Royan - Le Grand Hôtel de la Plage
125,Tuy Hoa,VN,80.42,overcast clouds,13.0833,109.3,Hotel Sài Gòn-Phú Yên
