City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gorodishche,RU,48.8045,44.4744,49.08,76,0,20.13,clear sky
1,Atuona,PF,-9.8,-139.0333,78.4,74,76,15.73,broken clouds
2,Sibolga,ID,1.7427,98.7792,80.73,78,100,2.82,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,70.2,89,100,8.59,heavy intensity rain
4,Dickinson,US,29.4608,-95.0513,54.12,74,100,0.0,overcast clouds
5,Korla,CN,41.7597,86.1469,38.82,33,4,3.44,clear sky
6,Ust-Nera,RU,64.5667,143.2,-21.14,98,69,5.12,broken clouds
7,Saint-Philippe,RE,-21.3585,55.7679,71.19,69,28,5.28,scattered clouds
8,Chokurdakh,RU,70.6333,147.9167,-12.73,99,100,4.47,overcast clouds
9,Saldanha,ZA,-33.0117,17.9442,59.02,72,78,14.38,broken clouds
10,Mataura,NZ,-46.1927,168.8643,58.48,71,95,1.7,overcast clouds
11,Homer,US,59.6425,-151.5483,38.8,91,0,5.01,clear sky
12,Cape Town,ZA,-33.9258,18.4232,58.91,75,68,1.99,broken clouds
13,Hobart,AU,-42.8794,147.3294,66.22,57,20,10.36,few clouds
14,Almunecar,ES,36.7339,-3.6907,69.96,90,62,10.49,broken clouds
15,Lebu,CL,-37.6167,-73.65,56.39,95,99,6.98,overcast clouds
16,Lorengau,PG,-2.0226,147.2712,85.86,64,98,6.31,overcast clouds
17,Bandarbeyla,SO,9.4942,50.8122,76.33,75,9,11.97,clear sky
18,Tasiilaq,GL,65.6145,-37.6368,37.56,80,100,6.64,light rain
19,East London,ZA,-33.0153,27.9116,64.69,90,100,1.54,overcast clouds
20,Talnakh,RU,69.4865,88.3972,1.2,95,100,26.57,light snow
21,Rabat,MA,33.9911,-6.8401,64.04,95,75,0.0,broken clouds
22,Libertador General San Martin,AR,-23.8064,-64.7876,79.02,40,84,3.56,broken clouds
23,Ushuaia,AR,-54.8,-68.3,51.46,37,20,14.97,few clouds
24,Albany,US,42.6001,-73.9662,34.57,70,63,1.01,broken clouds
25,Cherskiy,RU,68.75,161.3,-26.99,100,100,5.19,overcast clouds
26,Adrar,MR,20.5022,-10.0711,66.78,16,0,9.06,clear sky
27,Rio Grande,BR,-32.035,-52.0986,65.79,76,44,7.47,scattered clouds
28,Russell,US,32.3502,-85.1999,38.8,80,0,4.61,clear sky
29,Aranda De Duero,ES,41.6704,-3.6892,46.62,91,100,9.66,overcast clouds
30,Salinas,US,36.6777,-121.6555,58.41,62,0,5.75,clear sky
31,Puerto Ayora,EC,-0.7393,-90.3518,69.55,89,8,5.99,clear sky
32,Pevek,RU,69.7008,170.3133,-6.7,98,100,5.66,overcast clouds
